SensorA = target
SensorB = available
{bandsB; cwlsB; beta_hat} = bands, centre wavelengths, and coefficients in comma-delimited form
*) band numbers start counting at zero
**) centre wavelengths are expressed in nm
***) first coefficient listed is the constant

sensorA;bandA;cwlA;sensorB;{bandsB};{cwlsB};{beta_hat};AIC;var_y_given_X
terra;5;1629.40788053;meris;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14;412.433615778,442.302283223,489.626577523,509.564329959,559.440262161,619.349162711,664.322430724,680.571670334,708.080139841,753.123045597,760.007913967,778.160657513,864.627349057,884.697163697,899.753104609;0.0268567690476,2.82988105966,-4.28501405823,5.59806598552,-3.41409733065,-1.19526021105,2.24467744535,-9.19882362961,8.17703576009,0.425499735571,-0.079520157383,2.02898446768,2.13574473776,-41.7396925608,44.9070777799,-6.93321581959;-532.376473189;0.000830450201075
terra;5;1629.40788053;sentinel2;0,1,2,3,4,5,6,7,8,9,10,11,12;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255,1613.65940666,2202.36668717;0.00179105482827,-0.133675618057,0.142261283785,-0.0240936584259,-0.00225054933626,-0.0197665198537,0.0273238810396,0.331434114031,-1.12233256086,0.784128629322,-0.00363531060037,0.00942311728948,1.0084580235,-0.0108845983967;-1341.34319509;1.32608923972e-06
terra;5;1629.40788053;vgt;0,1,2,3;459.52,662.04,834.709418838,1649.64071856;0.00235263185953,-0.014163055722,0.0169178940806,-0.00717096415041,0.996936069203;-1319.56141565;1.82300898609e-06
terra;6;2114.21403827;aqua;2,3,0,1,4,5,6;466.07150204,553.917076647,645.8403499,856.877853417,1241.49758039,1628.08776832,2113.99922695;-7.57227004804e-06,-0.000145103190723,0.000427521389106,-0.000339380737001,8.233963415e-05,-0.000117396524483,0.000425183327641,0.999659716923;-2425.76825849;2.4922204355e-10
terra;6;2114.21403827;meris;0,1,2,3,4,5,6,7,8,9,10,11,12,13;412.433615778,442.302283223,489.626577523,509.564329959,559.440262161,619.349162711,664.322430724,680.571670334,708.080139841,753.123045597,760.007913967,778.160657513,864.627349057,884.697163697;0.0405742477271,2.71001196838,-2.74181749825,4.86707473916,-4.02896034368,-1.58867786424,4.5845603078,-17.7159164067,14.8266359497,0.398318990109,-0.269479754609,-0.81205050994,5.77100103661,-30.1938648889,25.5581576507;-497.777979312;0.0011129349631
terra;6;2114.21403827;sentinel2;0,1,2,3,4,5,6,7,8,9,10,11,12;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255,1613.65940666,2202.36668717;0.0068608460704,-0.378342776682,0.445797614138,-0.296686704615,0.059190670002,0.103972748418,-0.064124038506,1.69721648187,-4.36121087843,2.83248876183,-0.137826519342,-0.00711639016338,-0.0928936084838,1.1400294707;-891.890142254;4.83206309923e-05
terra;6;2114.21403827;vgt;0,1,2,3;459.52,662.04,834.709418838,1649.64071856;0.00939373697761,0.0563314042706,0.141638224899,-0.23293402136,0.82294670311;-584.619732062;0.000651985220479
aqua;0;645.8403499;terra;2,3,0,1,4,5;465.742398799,553.736229817,646.295673296,856.47984028,1242.16286011,1629.40788053;-4.85139062943e-05,-0.00131705339915,0.00392533294743,0.997476410921,-6.76855795963e-05,0.000446617320883,-0.000418325000821;-2150.88456988;2.28338381039e-09
aqua;0;645.8403499;meris;0,1,2,3,4,5,6,7,8,9,10,11;412.433615778,442.302283223,489.626577523,509.564329959,559.440262161,619.349162711,664.322430724,680.571670334,708.080139841,753.123045597,760.007913967,778.160657513;0.0002739960119,-0.00812698239186,0.0209143984382,-0.0505168125104,0.0452929718628,-0.027876703591,0.368116983055,0.950167757662,-0.330765870325,0.0348673298056,-0.0253044979279,0.0312210848627,-0.0101218196217;-1761.02263983;4.6925156171e-08
aqua;0;645.8403499;sentinel2;0,1,2,3,4,5,6,7,8,9,10;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255;-0.000440519373671,0.147861984286,-0.213249388449,0.189800153157,0.820954176576,0.103154198612,-0.061171476106,0.333787204673,-0.751985128764,0.440167711329,0.0186821442454,-0.0150519160674;-1295.9865376;1.96813707747e-06
aqua;0;645.8403499;vgt;0,1,2;459.52,662.04,834.709418838;-0.00211705679392,0.0431262882761,0.990629461608,-0.0239070214617;-1246.27921086;3.3292467038e-06
aqua;1;856.877853417;terra;2,3,0,1,4,5,6;465.742398799,553.736229817,646.295673296,856.47984028,1242.16286011,1629.40788053,2114.21403827;1.04922152091e-05,0.000634951395709,-0.000980204528271,-3.90884266425e-05,0.999723432904,0.000512187449235,0.00059655449965,-0.000566637813427;-2276.97715483;8.19482521347e-10
aqua;1;856.877853417;meris;0,1,2,3,4,5,6,7,8,9,10,11,12,13,14;412.433615778,442.302283223,489.626577523,509.564329959,559.440262161,619.349162711,664.322430724,680.571670334,708.080139841,753.123045597,760.007913967,778.160657513,864.627349057,884.697163697,899.753104609;7.03135310753e-05,-0.00626409503195,0.00482305055071,0.0039334559411,-0.00498950119058,0.00380299197417,-0.0238436243088,0.0826698857792,-0.0641081480717,0.00544799496863,-0.0211259024897,0.0173029618435,0.0554304823109,1.15420140721,-0.282743221943,0.0744252289621;-1945.6656682;1.02104293534e-08
